Begin,Cluster,Description,End,Fab300_Duration,Fab300_User_id,FACILITY,IIO_Duration,IIO_User_id,Modules,Tool,WBS
2023-01-04 08:00:00,0,Biocube resist inspection,2023-01-04 10:36:53,1.9325,leruth67,PLINE300,1.5,leruth67,"",NOVA200_2,44999/01997
2023-01-04 08:19:52,,"",2023-01-04 09:23:15,1.0563888888888888,billin72,PLINE300,,"","",SU8000,39320/36502
2023-01-04 08:30:00,,p,2023-01-04 12:30:00,,"",PLINE300,4,goovae19,LP1;LP2;LP3;PM1,EXTREME_2,98601/01062
2023-01-04 09:00:00,,AL225331 - D05 D10,2023-01-04 11:00:00,,"",PLINE300,2,beggia74,"",KLA2925,31199/00653
2023-01-04 09:00:00,,DEVINP,2023-01-04 11:00:00,,"",PLINE300,2,vbelle62,"",NX3DM,36003/01224
2023-01-04 09:00:00,,DSA,2023-01-04 11:00:00,,"",PLINE300,2,vanbel53,"",H6300,31199/00650
2023-01-04 09:00:00,,DSA,2023-01-04 14:00:00,,"",PLINE300,5,verstr99,BOTL,TRDUOS,31199/00650
2023-01-04 09:00:00,,MM300,2023-01-04 18:00:00,,"",PLINE300,9,kennes63,"",HYBRID_BONDER,31012/01084
2023-01-04 09:00:00,,Queue Quality check;APC;afd,2023-01-04 17:00:00,,"",PLINE300,8,schoof76;hsia24;schelc12,SN,EP5,31199/01057
2023-01-04 09:00:00,,recipe setup,2023-01-04 10:30:00,,"",PLINE300,1.5,baudem,"",ARCHER700,38199/01836
2023-01-04 09:00:00,,TOK bonding,2023-01-04 13:00:00,,"",PLINE200,4,thomas82,"",BONDER_200,44042/49500
2023-01-04 09:00:00,,ws2,2023-01-04 16:00:00,,"",PLINE300,7,koylan92,"",TECNAIF30,42199/00160
2023-01-04 09:15:16,0,DSA,2023-01-04 12:00:00,2.2569444444444446,verstr99,PLINE300,2,verstr99,PM,EDR7100,31199/00650
2023-01-04 09:30:00,,ATR-FTIR with liquid cell,2023-01-04 10:30:00,,"",PLINE300,1,wu78,"",FTIR_2,32005/00330
