DEL_FLAG,FACILITY,ENT_NAME,ROW_ID,CSIM_TIMESTAMP,Area
N,PLINE200,IQ_ALIGNER,3714,2/4/2023 22:47,Area/Litho/Exposure/Scanner
N,PLINE200,DNS_3,5498,2/4/2023 23:16,Area/WMCE/Clean/Etch
N,PLINE200,GRINDER,3733,2/4/2023 23:42,Area/WBA/Assembly/Grinding
N,PLINE200,MOUNTER_LH,7892,2/5/2023 0:04,Area/WBA/Assembly/Bonding
N,PLINE300,NXWAFER,22450,2/5/2023 1:42,Area/ILIME/Metrology/Inspections
N,PLINE200,RS75_CF,3949,2/5/2023 2:06,Area/ILIME/Metrology
N,PLINE200,PLATO,23498,2/5/2023 2:09,Area/ILIME/Metrology/Inspections
N,PLINE200,MICROS_EPI,6380,2/5/2023 2:56,Area/ILIME/Metrology/Inspections
N,PLINE300,TRPROAP,24652,2/5/2023 5:45,Area/Litho/Exposure/Track
N,PLINE200,HITACHI9200,3858,2/5/2023 7:14,Area/ILIME/Metrology/Inspections
N,PLINE200,AMAT_MEK,3824,2/5/2023 7:47,Area/DDCVD/Deposition/CVD
N,PLINE200,ASM1100,3828,2/5/2023 7:47,Area/Litho/Exposure/Scanner
N,PLINE200,BLUE_M_BCB,4422,2/5/2023 7:47,Area/Litho/Misc/Misc
N,PLINE200,EPSILON,3848,2/5/2023 7:47,Area/DDEPI/Deposition/EPI
N,PLINE200,P8_POLYRAMP,3941,2/5/2023 7:47,Area/DDDIFFUSION/Anneal/AnnealOven
N,PLINE200,PRIKKER,3945,2/5/2023 7:47,Area/Lab
N,PLINE300,ATOMPROBE,20306,2/5/2023 7:47,Area/MCA/Metrology/Microscopes
N,PLINE300,EP5,19780,2/5/2023 7:47,Area/ILIME/Metrology/Defectivity
N,PLINE300,ENDURA_5,16067,2/5/2023 7:47,Area/DDPVD/Deposition/PVD
N,PLINE300,EXTREME_1,10466,2/5/2023 7:47,Area/DDCVD/Deposition/CVD
N,PLINE300,HRP340,922,2/5/2023 7:47,Area/ILIME/Metrology/Profilometry
N,PLINE300,MH300,12949,2/5/2023 7:47,Area/ILIME/Metrology/Inspections
N,PLINE300,QUANTUMXP,12695,2/5/2023 7:47,Area/ISE/Implantation/Implantation
N,PLINE300,SIGMA,16706,2/5/2023 7:47,Area/DDPVD/Deposition/PVD
N,PLINE300,TEL_TACTRAS,7380,2/5/2023 7:48,Area/ISE/Etch/CombinedEtch
N,PLINE200,EPSILON2,3849,2/5/2023 8:18,Area/DDEPI/Deposition/EPI
N,PLINE300,TRDUOS,21671,2/5/2023 9:55,Area/Litho/Exposure/Track
N,PLINE300,POLYGON_2,5266,2/5/2023 10:01,Area/DDALD/Deposition/ALD
N,PLINE200,F5,3851,2/5/2023 10:34,Area/ILIME/Metrology/Ellipsometry
N,PLINE200,MICROS_INSP,3878,2/5/2023 11:11,Area/ILIME/Metrology/Inspections
N,PLINE200,ENDURA_BAR,3847,2/5/2023 11:21,Area/DDPVD/Deposition/PVD
N,PLINE300,ENDURA_3,5065,2/5/2023 12:44,Area/DDPVD/Deposition/PVD
N,PLINE200,300MM_DICER,4424,2/5/2023 12:47,Area/WBA/Assembly/Dicing
N,PLINE200,AMAT_HIK,3823,2/5/2023 12:47,Area/DDCVD/Deposition/CVD
N,PLINE200,CENTURA_W,3836,2/5/2023 12:47,Area/DDCVD/Deposition/CVD
N,PLINE200,CAMTEK,7932,2/5/2023 12:47,Area/ILIME/Metrology/Defectivity
N,PLINE200,ELECTRA_CF,3844,2/5/2023 12:47,Area/DDPVD/Deposition/PVD
N,PLINE200,HRP220_CU,3859,2/5/2023 12:47,Area/ILIME/Metrology/Profilometry
N,PLINE200,KLA2351,3860,2/5/2023 12:47,Area/ILIME/Metrology/Defectivity
N,PLINE200,MATTSON,3872,2/5/2023 12:47,Area/ISE/Etch/Strip
N,PLINE200,MICROS_DETS,3877,2/5/2023 12:47,Area/ILIME/Metrology/Inspections
N,PLINE200,MIRRA_2,9466,2/5/2023 12:47,Area/WMCE/Cmp/Cmp
N,PLINE200,NOTOOL,6219,2/5/2023 12:47,Area/Dummy-Area/Dummy-SubArea/Dummy-EntityGroup
N,PLINE200,SAM_AW300,13589,2/5/2023 12:47,Area/ILIME/Metrology/Defectivity
N,PLINE200,SICONNEX,4939,2/5/2023 12:47,Area/WMCE/Clean/Etch
N,PLINE200,THOR,19168,2/5/2023 12:47,Area/META/AMSI/AutoProbers
