fo_row_id,Datim,EVENT_ROW_ID,State
20897,09/01/2022 12:27,929497386,RESERVED
20901,09/01/2022 12:27,929497388,RESERVED
20898,09/01/2022 12:27,929497390,RESERVED
8074,09/01/2022 12:34,929498378,UP
20556,09/01/2022 12:36,929499083,UP
1059,09/01/2022 12:41,929499980,IDLE_ERROR
9469,09/01/2022 12:46,929500669,UP
24763,09/01/2022 12:46,929500738,UP
21674,09/01/2022 12:47,929501256,RESERVED
21711,09/01/2022 12:47,929501259,RESERVED
19203,09/01/2022 12:50,929501606,UP
19208,09/01/2022 12:50,929501609,UP
19209,09/01/2022 12:50,929501611,UP
12949,09/01/2022 12:53,929502047,RESERVED
20998,09/01/2022 12:53,929502106,SPC_TEST
9467,09/01/2022 12:55,929502348,SPC_TEST
4024,09/01/2022 13:01,929502855,SPC_TEST
20373,09/01/2022 13:01,929502857,SPC_TEST
4025,09/01/2022 13:01,929502859,SPC_TEST
4022,09/01/2022 13:01,929502863,SPC_TEST
4023,09/01/2022 13:01,929502865,SPC_TEST
21711,09/01/2022 13:06,929503929,UP
21729,09/01/2022 13:12,929504734,PARTLY_UP
9591,09/01/2022 13:16,929505313,RESERVED
21906,09/01/2022 13:16,929505315,RESERVED
9588,09/01/2022 13:16,929505317,RESERVED
10907,09/01/2022 13:25,929507414,UP
9467,09/01/2022 13:27,929507773,UP
3832,09/01/2022 13:32,929509404,SPC_TEST
5803,09/01/2022 13:36,929510612,IN_MAINT
13626,09/01/2022 13:36,929510726,UP
13628,09/01/2022 13:36,929510728,UP
13630,09/01/2022 13:36,929510731,UP
13632,09/01/2022 13:36,929510734,UP
13188,09/01/2022 13:36,929510739,UP
21013,09/01/2022 13:36,929510742,UP
13191,09/01/2022 13:36,929510745,UP
13192,09/01/2022 13:36,929510747,UP
13187,09/01/2022 13:36,929510751,UP
5803,09/01/2022 13:36,929510860,UP
5468,09/01/2022 13:37,929510941,UP
3832,09/01/2022 13:37,929510947,UP
5463,09/01/2022 13:37,929510970,SPC_TEST
4926,09/01/2022 13:37,929511013,UP
24049,09/01/2022 13:40,929511919,UP
21934,09/01/2022 13:40,929511937,UP
9466,09/01/2022 13:41,929512378,UP
9569,09/01/2022 13:50,929515083,UP
22987,09/01/2022 13:51,929515178,UP
22992,09/01/2022 13:51,929515180,UP
5443,09/01/2022 13:52,929515443,RESERVED
4419,09/01/2022 13:55,929516154,RESERVED
4022,09/01/2022 13:57,929516584,UP
4024,09/01/2022 13:57,929516603,UP
4025,09/01/2022 13:57,929516611,UP
20373,09/01/2022 13:57,929516615,UP
3964,09/01/2022 13:57,929516654,IDLE_ERROR
3965,09/01/2022 13:58,929516696,IN_MAINT
3965,09/01/2022 13:58,929516770,PARTLY_UP
18993,09/01/2022 13:58,929516775,UP
18992,09/01/2022 13:58,929516820,UP
18986,09/01/2022 13:58,929516823,UP
18994,09/01/2022 13:59,929516879,PARTLY_UP
18986,09/01/2022 13:59,929516886,PARTLY_UP
18994,09/01/2022 13:59,929516903,UP
18986,09/01/2022 13:59,929516905,UP
18994,09/01/2022 13:59,929516919,SPC_TEST
3960,09/01/2022 14:00,929517008,SPC_TEST
4926,09/01/2022 14:00,929517138,RESERVED
8045,09/01/2022 14:00,929517291,UP
10907,09/01/2022 14:05,929518072,RESERVED
13810,09/01/2022 14:11,929520392,UP
13810,09/01/2022 14:11,929520395,PARTLY_UP
13810,09/01/2022 14:11,929520400,UP
20568,09/01/2022 14:12,929520537,SPC_TEST
3822,09/01/2022 14:13,929520623,UP
3822,09/01/2022 14:13,929520625,SPC_TEST
1394,09/01/2022 14:16,929521162,RESERVED
1395,09/01/2022 14:16,929521164,RESERVED
1399,09/01/2022 14:16,929521167,RESERVED
1400,09/01/2022 14:16,929521169,RESERVED
6960,09/01/2022 14:17,929521294,OCAP
10586,09/01/2022 14:18,929521322,SPC_TEST
9290,09/01/2022 14:18,929521330,UP
18994,09/01/2022 14:23,929522629,OCAP
4926,09/01/2022 14:28,929524247,UP
1062,09/01/2022 14:29,929524403,IDLE_ERROR
4066,09/01/2022 14:31,929525170,UP
4068,09/01/2022 14:31,929525172,UP
3941,09/01/2022 14:31,929525174,UP
11003,09/01/2022 14:33,929525765,RESERVED
10998,09/01/2022 14:33,929525769,RESERVED
10996,09/01/2022 14:33,929525776,UP
8598,09/01/2022 14:34,929525782,IDLE_ERROR
9066,09/01/2022 14:34,929525836,SPC_TEST
8907,09/01/2022 14:34,929525838,SPC_TEST
19781,09/01/2022 14:42,929527247,UP
19782,09/01/2022 14:42,929527255,UP
19783,09/01/2022 14:42,929527293,UP
19784,09/01/2022 14:42,929527312,UP
19785,09/01/2022 14:42,929527321,UP
19780,09/01/2022 14:42,929527324,UP
3981,09/01/2022 14:43,929527478,UP
3822,09/01/2022 14:43,929527484,UP
21038,09/01/2022 14:43,929527558,PARTLY_UP
19781,09/01/2022 14:44,929527765,IN_MAINT
21044,09/01/2022 14:44,929527773,PARTLY_UP
19782,09/01/2022 14:44,929527786,IN_MAINT
19780,09/01/2022 14:44,929527788,IN_MAINT
21029,09/01/2022 14:44,929527796,UP
