Cluster,Description,Fab300_Begin,Fab300_End,Fab300_Res_id,Fab300_User_id,FACILITY,IIO_Begin,IIO_End,IIO_Res_id,IIO_User_id,Modules,Tool,WBS
0,devinp,2022-10-31 13:48:01,2022-10-31 14:54:03,71,stiersk,PLINE300,2022-10-31 13:30:00,2022-10-31 15:00:00,1125,stiersk,LP1;LP2;LP3;PM1;PM2;PM3,CIRCL,36003/36503
0,devinp,2022-10-31 15:10:16,2022-10-31 21:36:37,38,vbelle62,PLINE300,2022-10-31 14:30:00,2022-10-31 21:30:00,241,vbelle62,"",NX3DM,36003/01224
0,devinp,2022-11-04 18:08:19,2022-11-04 23:01:45,151,gooris43,PLINE200,2022-11-04 16:30:00,2022-11-04 22:00:00,1058,gompou79,"",KLA2351,32299/31838
0,devinp,2022-11-05 16:06:33,2022-11-05 17:31:26,221,vbelle62,PLINE300,2022-11-05 14:30:00,2022-11-05 17:30:00,372,vbelle62,"",NXWAFER,36003/01224
0,Devinps,2022-11-07 15:06:08,2022-11-07 16:32:05,249,janard53,PLINE300,2022-11-07 15:00:00,2022-11-07 17:00:00,253,janard53,"",SEMVISION,00999/00505
0,Devinps,2022-11-09 18:14:23,2022-11-09 19:21:54,220,janard53,PLINE300,2022-11-09 18:00:00,2022-11-09 20:00:00,809,janard53,"",PROVISION2E,38199/01952
0,Devinps,2022-11-09 20:02:41,2022-11-09 20:43:06,246,janard53,PLINE300,2022-11-09 20:00:00,2022-11-09 21:30:00,778,janard53,"",SEMVISION,32299/01084
0,Devinps,2022-11-15 09:11:51,2022-11-15 10:26:26,356,janard53,PLINE300,2022-11-15 09:00:00,2022-11-15 10:00:00,380,janard53,"",SP3,00999/00505
0,DMA-TMS passivation,2022-11-10 11:19:16,2022-11-10 12:02:48,461,mandal97,PLINE300,2022-11-10 11:00:00,2022-11-10 14:00:00,1205,mandal97,LP1;PM4,TEL_TACTRAS2,31199/01765
0,DSA,2022-11-07 15:28:58,2022-11-07 17:53:42,7,vanbel53,PLINE300,2022-11-07 15:30:00,2022-11-07 18:00:00,1175,vanbel53,LP1;SM1,DNS_4,31199/00650
0,ECCI service;TEM prep,2022-11-07 09:48:27,2022-11-15 14:22:00,55,drijboom,PLINE300,2022-11-15 06:30:00,2022-11-15 17:30:00,311,han27;drijboom,"",HELIOS_G5,42199/00160
