,Facility,Tool,Datim,State,State_SC,State_TR,id,Duration,BeginEndFlag
1673,PLINE300,SEMVISION,2023-01-04 14:00:00,UP,,,1673.0,1.0,Begin
343,PLINE300,SEMVISION,2023-01-04 15:00:00,UP,,,343.0,1.5,Begin
331,PLINE300,SEMVISION,2023-01-04 16:30:00,UP,,,331.0,1.5,Begin
1674,PLINE300,SEMVISION,2023-01-04 18:00:00,UP,,,1674.0,2.0,Begin
2009,PLINE300,SEMVISION,2023-01-04 22:19:00,UP,,,2009.0,0.5166666666666667,Begin
346,PLINE300,SEMVISION,2023-01-05 06:00:00,UP,,,346.0,5.416666666666667,Begin
1682,PLINE300,SEMVISION,2023-01-05 08:00:00,UP,,,1682.0,2.0,Begin
1707,PLINE300,SEMVISION,2023-01-05 14:00:00,UP,,,1707.0,1.0,Begin
1708,PLINE300,SEMVISION,2023-01-05 18:30:00,UP,,,1708.0,1.5,Begin
347,PLINE300,SEMVISION,2023-01-06 06:00:00,UP,,,347.0,5.15,Begin
1683,PLINE300,SEMVISION,2023-01-06 08:00:00,UP,,,1683.0,3.0,Begin
2010,PLINE300,SEMVISION,2023-01-06 11:50:00,UP,,,2010.0,0.4,Begin
1709,PLINE300,SEMVISION,2023-01-06 14:00:00,UP,,,1709.0,1.0,Begin
2011,PLINE300,SEMVISION,2023-01-06 22:18:00,UP,,,2011.0,2.1666666666666665,Begin
348,PLINE300,SEMVISION,2023-01-07 05:51:00,UP,,,348.0,2.15,Begin
459,PLINE300,SEMVISION,2023-01-07 06:18:00,DOWN,,,348.0,2.15,Begin
460,PLINE300,SEMVISION,2023-01-07 06:34:00,UP,,,348.0,2.15,Begin
332,PLINE300,SEMVISION,2023-01-07 07:41:00,UP,,,332.0,4.316666666666666,Begin
1710,PLINE300,SEMVISION,2023-01-08 06:00:00,UP,,,1710.0,2.0,Begin
2012,PLINE300,SEMVISION,2023-01-08 19:27:00,UP,,,2012.0,1.7333333333333334,Begin
2013,PLINE300,SEMVISION,2023-01-08 22:42:00,UP,,,2013.0,1.15,Begin
1684,PLINE300,SEMVISION,2023-01-09 08:00:00,UP,,,1684.0,4.0,Begin
1711,PLINE300,SEMVISION,2023-01-09 14:00:00,UP,,,1711.0,1.0,Begin
349,PLINE300,SEMVISION,2023-01-09 18:30:00,UP,,,349.0,1.5,Begin
1685,PLINE300,SEMVISION,2023-01-10 08:00:00,UP,,,1685.0,4.0,Begin
1686,PLINE300,SEMVISION,2023-01-10 14:00:00,UP,,,1686.0,1.0,Begin
1687,PLINE300,SEMVISION,2023-01-10 17:00:00,UP,,,1687.0,1.5,Begin
350,PLINE300,SEMVISION,2023-01-10 18:23:00,UP,,,350.0,1.6166666666666667,Begin
2014,PLINE300,SEMVISION,2023-01-11 02:22:00,UP,,,2014.0,0.3333333333333333,Begin
333,PLINE300,SEMVISION,2023-01-11 09:45:00,UP,,,333.0,2.2666666666666666,Begin
334,PLINE300,SEMVISION,2023-01-11 12:57:00,UP,,,334.0,6.116666666666666,Begin
1704,PLINE300,SEMVISION,2023-01-11 15:00:00,UP,,,1704.0,2.0,Begin
1712,PLINE300,SEMVISION,2023-01-11 18:30:00,UP,,,1712.0,1.5,Begin
2015,PLINE300,SEMVISION,2023-01-11 20:30:00,UP,,,2015.0,0.75,Begin
461,PLINE300,SEMVISION,2023-01-11 21:00:00,DOWN,,,2015.0,0.75,Begin
2016,PLINE300,SEMVISION,2023-01-11 21:16:00,UP,,,2016.0,0.8333333333333334,Begin
351,PLINE300,SEMVISION,2023-01-12 05:59:00,UP,,,351.0,2.0166666666666666,Begin
1688,PLINE300,SEMVISION,2023-01-12 08:00:00,UP,,,1688.0,2.0,Begin
344,PLINE300,SEMVISION,2023-01-12 10:00:00,UP,,,344.0,2.0,Begin
2017,PLINE300,SEMVISION,2023-01-12 12:12:00,UP,,,2017.0,1.5333333333333334,Begin
1689,PLINE300,SEMVISION,2023-01-12 14:00:00,UP,,,1689.0,1.0,Begin
1690,PLINE300,SEMVISION,2023-01-12 17:00:00,UP,,,1690.0,1.5,Begin
352,PLINE300,SEMVISION,2023-01-12 18:01:00,UP,,,352.0,2.0833333333333335,Begin
2018,PLINE300,SEMVISION,2023-01-13 00:40:00,UP,,,2018.0,1.5166666666666666,Begin
353,PLINE300,SEMVISION,2023-01-13 06:00:00,UP,,,353.0,2.0,Begin
335,PLINE300,SEMVISION,2023-01-13 08:53:00,UP,,,335.0,2.1166666666666667,Begin
365,PLINE300,SEMVISION,2023-01-13 11:00:00,UP,,,365.0,1.0,Begin
1691,PLINE300,SEMVISION,2023-01-13 14:00:00,UP,,,1691.0,1.0,Begin
1692,PLINE300,SEMVISION,2023-01-13 17:00:00,UP,,,1692.0,1.5,Begin
2019,PLINE300,SEMVISION,2023-01-13 22:16:00,UP,,,2019.0,4.05,Begin
2020,PLINE300,SEMVISION,2023-01-14 04:40:00,UP,,,2020.0,0.48333333333333334,Begin
354,PLINE300,SEMVISION,2023-01-14 06:30:00,UP,,,354.0,6.083333333333333,Begin
2021,PLINE300,SEMVISION,2023-01-14 15:04:00,UP,,,2021.0,0.4166666666666667,Begin
1713,PLINE300,SEMVISION,2023-01-15 06:30:00,UP,,,1713.0,2.5,Begin
1693,PLINE300,SEMVISION,2023-01-16 08:00:00,UP,,,1693.0,2.0,Begin
1726,PLINE300,SEMVISION,2023-01-16 14:00:00,UP,,,1726.0,1.0,Begin
366,PLINE300,SEMVISION,2023-01-16 15:56:00,UP,,,366.0,4.066666666666666,Begin
2022,PLINE300,SEMVISION,2023-01-16 20:00:00,UP,,,2022.0,1.8166666666666667,Begin
2023,PLINE300,SEMVISION,2023-01-17 03:18:00,UP,,,2023.0,1.7166666666666666,Begin
